Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Geographical_Location,Vehicle_Speed,Fraud_indicator,state,month,time-of-day
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",21,Not Fraud,Karnataka,4,9
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",22,Not Fraud,Karnataka,5,11
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",23,Fraud,Karnataka,7,13
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",24,Not Fraud,Karnataka,8,15
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",25,Not Fraud,Karnataka,9,18
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",26,Not Fraud,Andhra Pradesh,10,20
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",27,Not Fraud,Andhra Pradesh,11,22
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",28,Not Fraud,Andhra Pradesh,12,0
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",29,Not Fraud,Andhra Pradesh,2,3
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",30,Not Fraud,Andhra Pradesh,3,5
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",31,Not Fraud,Karnataka,4,7
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",32,Not Fraud,Karnataka,5,9
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",33,Not Fraud,Karnataka,7,12
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",34,Fraud,Karnataka,8,14
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",35,Not Fraud,Karnataka,9,16
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",36,Not Fraud,Karnataka,10,18
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",37,Not Fraud,Karnataka,11,21
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",38,Fraud,Karnataka,12,23
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",39,Not Fraud,Karnataka,2,1
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,3,3
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",76,Fraud,Karnataka,4,6
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",89,Not Fraud,Karnataka,5,8
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,7,10
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",56,Not Fraud,Karnataka,8,12
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",67,Not Fraud,Karnataka,9,15
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",87,Not Fraud,Karnataka,10,17
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,11,19
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",34,Not Fraud,Karnataka,12,21
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",78,Not Fraud,Karnataka,2,0
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,3,2
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",87,Fraud,Karnataka,4,4
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",66,Fraud,Karnataka,6,6
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",89,Not Fraud,Karnataka,7,9
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,8,11
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",34,Not Fraud,Karnataka,9,13
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",98,Not Fraud,Karnataka,10,15
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",22,Fraud,Karnataka,11,18
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",23,Fraud,Karnataka,1,20
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",10,Not Fraud,Karnataka,2,22
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",67,Not Fraud,Karnataka,3,0
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",87,Not Fraud,Karnataka,4,3
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,6,5
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",34,Not Fraud,Karnataka,7,7
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",87,Fraud,Karnataka,8,9
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",35,Not Fraud,Karnataka,9,12
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",32,Not Fraud,Karnataka,10,14
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,11,16
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",34,Not Fraud,Karnataka,1,18
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",65,Fraud,Karnataka,2,21
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",23,Fraud,Karnataka,3,23
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,4,1
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",34,Not Fraud,Karnataka,5,3
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,7,6
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,8,8
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",67,Not Fraud,Karnataka,9,10
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,10,12
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",76,Fraud,Karnataka,11,15
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,12,17
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",76,Fraud,Karnataka,2,19
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,3,21
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,4,0
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,5,2
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",65,Fraud,Karnataka,7,4
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",98,Not Fraud,Karnataka,8,6
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,9,9
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,10,11
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",88,Not Fraud,Karnataka,11,13
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,12,15
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",56,Not Fraud,Karnataka,2,18
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",86,Not Fraud,Karnataka,3,20
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",98,Fraud,Karnataka,4,22
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",67,Not Fraud,Karnataka,5,0
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",98,Not Fraud,Karnataka,7,3
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",67,Fraud,Karnataka,8,5
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",56,Not Fraud,Karnataka,9,7
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",87,Fraud,Karnataka,10,9
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",56,Not Fraud,Karnataka,11,12
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",87,Not Fraud,Karnataka,12,14
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",67,Not Fraud,Karnataka,2,16
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,3,18
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",56,Not Fraud,Karnataka,4,21
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",98,Not Fraud,Karnataka,5,23
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",56,Not Fraud,Karnataka,7,1
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",45,Fraud,Karnataka,8,3
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",55,Fraud,Karnataka,9,6
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,10,8
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,11,10
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,1,12
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,11,0
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,12,2
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,2,4
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",78,Fraud,Karnataka,3,6
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",76,Fraud,Karnataka,4,9
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",89,Not Fraud,Karnataka,5,11
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,7,13
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",80,Not Fraud,Karnataka,8,15
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",70,Not Fraud,Karnataka,9,18
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",60,Not Fraud,Karnataka,10,20
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",56,Fraud,Karnataka,11,22
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,12,0
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",55,Not Fraud,Karnataka,2,3
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",65,Fraud,Karnataka,3,5
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,4,7
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",87,Not Fraud,Karnataka,5,9
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",98,Not Fraud,Karnataka,7,12
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,8,14
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",35,Not Fraud,Karnataka,9,16
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",24,Fraud,Karnataka,10,18
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",25,Not Fraud,Karnataka,11,21
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",77,Not Fraud,Karnataka,12,23
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",78,Not Fraud,Karnataka,2,1
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,3,3
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",89,Not Fraud,Karnataka,4,6
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",85,Not Fraud,Karnataka,5,8
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,7,10
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,8,12
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,9,15
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,10,17
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,11,19
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",45,Fraud,Karnataka,12,21
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",77,Fraud,Karnataka,2,0
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",88,Not Fraud,Karnataka,3,2
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",23,Fraud,Karnataka,4,4
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",34,Not Fraud,Karnataka,6,6
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",65,Fraud,Karnataka,7,9
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,8,11
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,9,13
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",54,Not Fraud,Karnataka,10,15
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",66,Fraud,Karnataka,11,18
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",66,Not Fraud,Karnataka,1,20
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",55,Not Fraud,Karnataka,2,22
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",77,Not Fraud,Karnataka,3,0
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",44,Not Fraud,Karnataka,4,3
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",60,Not Fraud,Karnataka,6,5
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",70,Fraud,Karnataka,7,7
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",77,Not Fraud,Karnataka,8,9
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",55,Not Fraud,Karnataka,9,12
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,10,14
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",75,Not Fraud,Karnataka,11,16
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",85,Fraud,Karnataka,1,18
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",95,Not Fraud,Karnataka,2,21
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,3,23
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",88,Fraud,Karnataka,4,1
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,5,3
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,7,6
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",78,Not Fraud,Karnataka,8,8
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",78,Fraud,Karnataka,9,10
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",89,Not Fraud,Karnataka,10,12
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",99,Not Fraud,Karnataka,11,15
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",98,Fraud,Karnataka,12,17
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,2,19
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",68,Not Fraud,Karnataka,3,21
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",45,Not Fraud,Karnataka,4,0
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",23,Fraud,Karnataka,5,2
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",35,Fraud,Karnataka,7,4
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",75,Not Fraud,Karnataka,8,6
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",80,Not Fraud,Karnataka,9,9
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",88,Fraud,Karnataka,10,11
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,11,13
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",75,Fraud,Karnataka,12,15
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",46,Not Fraud,Karnataka,2,18
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",47,Not Fraud,Karnataka,3,20
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",89,Fraud,Karnataka,4,22
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,5,0
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",87,Not Fraud,Karnataka,7,3
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",96,Not Fraud,Karnataka,8,5
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",67,Fraud,Karnataka,9,7
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",65,Not Fraud,Karnataka,10,9
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",66,Not Fraud,Karnataka,11,12
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",67,Not Fraud,Karnataka,12,14
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",68,Not Fraud,Karnataka,2,16
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",69,Fraud,Karnataka,3,18
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",70,Not Fraud,Karnataka,4,21
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",71,Not Fraud,Karnataka,5,23
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",72,Fraud,Karnataka,7,1
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",73,Not Fraud,Karnataka,8,3
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",74,Not Fraud,Karnataka,9,6
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",75,Fraud,Karnataka,10,8
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,11,10
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",77,Not Fraud,Karnataka,1,12
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",78,Not Fraud,Karnataka,8,20
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",79,Not Fraud,Karnataka,1,8
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",80,Fraud,Karnataka,2,12
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",81,Fraud,Karnataka,3,16
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",82,Fraud,Karnataka,4,9
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",83,Not Fraud,Karnataka,5,14
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",84,Not Fraud,Karnataka,6,18
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",85,Not Fraud,Karnataka,8,21
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",86,Not Fraud,Karnataka,9,5
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",87,Fraud,Karnataka,10,10
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",88,Not Fraud,Karnataka,11,13
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",89,Not Fraud,Karnataka,1,8
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,2,12
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",55,Not Fraud,Karnataka,3,16
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",56,Not Fraud,Karnataka,4,10
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",57,Not Fraud,Karnataka,5,14
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",58,Not Fraud,Karnataka,7,18
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",59,Not Fraud,Karnataka,8,21
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",60,Not Fraud,Karnataka,9,5
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",61,Fraud,Karnataka,10,10
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",62,Not Fraud,Karnataka,11,13
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",63,Not Fraud,Karnataka,1,8
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",56,Fraud,Karnataka,2,12
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",90,Fraud,Karnataka,3,16
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",90,Not Fraud,Karnataka,4,10
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",55,Fraud,Karnataka,5,14
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",82,Not Fraud,Karnataka,7,18
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",63,Not Fraud,Karnataka,8,21
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",90,Fraud,Karnataka,9,5
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",48,Not Fraud,Karnataka,10,10
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",76,Not Fraud,Karnataka,11,13
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",58,Not Fraud,Karnataka,1,8
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",87,Not Fraud,Karnataka,2,12
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",67,Not Fraud,Karnataka,3,16
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",94,Not Fraud,Karnataka,4,10
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",71,Not Fraud,Karnataka,5,14
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",89,Not Fraud,Karnataka,7,18
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",52,Not Fraud,Karnataka,8,22
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",79,Not Fraud,Maharashtra,9,5
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",66,Fraud,Maharashtra,10,10
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",95,Not Fraud,Maharashtra,11,13
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",44,Not Fraud,Maharashtra,1,8
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",78,Fraud,Maharashtra,2,12
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",61,Not Fraud,Maharashtra,3,16
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",85,Fraud,Maharashtra,4,10
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",49,Not Fraud,Maharashtra,5,14
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",74,Fraud,Maharashtra,7,18
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",69,Not Fraud,Maharashtra,8,22
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",92,Not Fraud,Maharashtra,9,5
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",57,Not Fraud,Maharashtra,10,10
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",83,Not Fraud,Maharashtra,12,14
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",68,Not Fraud,Maharashtra,1,8
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",96,Not Fraud,Maharashtra,2,13
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",46,Not Fraud,Maharashtra,3,16
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",81,Not Fraud,Maharashtra,4,10
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",60,Not Fraud,Maharashtra,5,15
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",88,Not Fraud,Maharashtra,7,19
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",53,Fraud,Maharashtra,8,22
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",77,Fraud,Maharashtra,9,5
SUV,B-102,Express,Large,"13.042660878688794, 77.47580097259879",64,Not Fraud,Maharashtra,10,10
Bus ,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",91,Fraud,Maharashtra,12,14
Car,A-101,Express,Small,"13.042660878688794, 77.47580097259879",50,Not Fraud,Maharashtra,1,8
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",75,Not Fraud,Goa,2,13
Truck,C-103,Express,Large,"13.042660878688794, 77.47580097259879",59,Fraud,Maharashtra,3,16
Van,B-102,Regular,Medium,"13.042660878688794, 77.47580097259879",84,Not Fraud,Andhra Pradesh,4,10
Sedan,A-101,Express,Medium,"13.042660878688794, 77.47580097259879",66,Not Fraud,Goa,5,15
SUV,B-102,Regular,Large,"13.042660878688794, 77.47580097259879",93,Fraud,Maharashtra,7,19
Bus ,C-103,Express,Large,"13.042660878688794, 77.47580097259879",45,Fraud,Andhra Pradesh,8,22
Car,A-101,Regular,Small,"13.042660878688794, 77.47580097259879",80,Not Fraud,Goa,9,5
Motorcycle,D-106,Regular,Small,"13.042660878688794, 77.47580097259879",62,Not Fraud,Maharashtra,10,10
Truck,C-103,Regular,Large,"13.042660878688794, 77.47580097259879",86,Fraud,Andhra Pradesh,12,14
Van,B-102,Express,Medium,"13.042660878688794, 77.47580097259879",51,Not Fraud,Goa,1,8
Sedan,A-101,Regular,Medium,"13.042660878688794, 77.47580097259879",73,Not Fraud,Maharashtra,2,13
SUV,B-102,Express,Large,"12.84197701525119, 77.67547528176169",56,Not Fraud,Andhra Pradesh,3,16
Bus ,C-103,Regular,Large,"12.84197701525119, 77.67547528176169",82,Fraud,Goa,4,10
Car,A-101,Express,Small,"12.84197701525119, 77.67547528176169",70,Not Fraud,Maharashtra,6,16
Motorcycle,D-106,Regular,Small,"12.84197701525119, 77.67547528176169",97,Not Fraud,Andhra Pradesh,7,19
Truck,C-103,Express,Large,"12.84197701525119, 77.67547528176169",47,Not Fraud,Goa,8,22
Van,B-102,Regular,Medium,"12.84197701525119, 77.67547528176169",84,Fraud,Maharashtra,9,5
Sedan,A-101,Express,Medium,"12.84197701525119, 77.67547528176169",65,Not Fraud,Andhra Pradesh,10,10
SUV,B-102,Regular,Large,"12.84197701525119, 77.67547528176169",92,Not Fraud,Goa,12,14
Bus ,C-103,Express,Large,"12.84197701525119, 77.67547528176169",53,Fraud,Maharashtra,1,8
Car,A-101,Regular,Small,"12.84197701525119, 77.67547528176169",79,Fraud,Andhra Pradesh,2,13
Motorcycle,D-106,Regular,Small,"12.84197701525119, 77.67547528176169",61,Not Fraud,Goa,3,16
Truck,C-103,Regular,Large,"12.84197701525119, 77.67547528176169",89,Fraud,Maharashtra,4,10
Van,B-102,Express,Medium,"12.84197701525119, 77.67547528176169",44,Fraud,Andhra Pradesh,6,16
Sedan,A-101,Regular,Medium,"12.84197701525119, 77.67547528176169",78,Fraud,Goa,7,19
